49.899,26.015,17.077,6.748,1.000
28.178,13.839,10.766,3.514,1.772
23.521,9.549,11.313,2.594,2.123
24.888,7.011,15.811,2.002,2.009
26.351,5.759,18.921,1.584,1.895
21.728,4.798,15.518,1.326,2.301
20.584,4.159,15.324,1.016,2.426
24.024,3.584,19.384,0.957,2.077
22.488,3.252,18.301,0.857,2.223
21.728,3.417,17.419,0.809,2.301
19.939,2.72,16.404,0.721,2.504
17.875,2.95,14.15,0.679,2.793
17.601,2.335,14.514,0.639,2.841
17.478,2.201,14.592,0.572,2.861
17.387,2.429,14.257,0.577,2.875
12.686,2.19,9.832,0.546,3.933
12.827,1.886,10.322,0.487,3.893
13.096,1.807,10.672,0.481,3.813
12.534,1.756,10.176,0.47,3.989
12.793,1.694,10.466,0.482,3.908
12.977,1.62,10.744,0.473,3.848
13.422,1.757,11.049,0.46,3.724
14.633,1.7,12.35,0.43,3.410
13.886,1.649,11.64,0.441,3.600
12.101,1.461,10.048,0.424,4.132
15.836,1.602,13.647,0.422,3.157
13.657,1.45,11.635,0.405,3.656
12.109,1.482,10.034,0.423,4.123
15.68,1.396,13.71,0.411,3.189
14.617,1.388,12.629,0.427,3.416
13.965,1.485,11.893,0.407,3.575
13.976,1.477,11.905,0.412,3.570
13.185,1.43,11.165,0.4,3.787
17.294,1.348,15.325,0.429,2.887
15.66,1.454,13.598,0.417,3.186
13.289,1.402,11.296,0.418,3.755
12.269,1.422,10.205,0.445,4.074
13.363,1.432,11.287,0.451,3.734
14.763,1.425,12.718,0.441,3.386
14.538,1.366,12.557,0.43,3.439
12.501,1.463,10.402,0.445,3.994
14.415,1.43,12.317,0.478,3.468
12.077,1.421,9.974,0.486,4.134
17.948,1.452,15.795,0.497,2.785
12.022,1.409,9.93,0.472,4.159
15.948,1.347,13.889,0.513,3.131
12.604,1.446,10.473,0.495,3.962
15.833,1.449,13.665,0.52,3.158
15.81,1.415,13.661,0.525,3.158
16.024,1.425,13.871,0.535,3.120
13.365,1.465,11.178,0.527,3.736
15.845,1.473,13.66,0.521,3.149
13.306,1.467,11.116,0.531,3.750
16.434,1.466,14.194,0.583,3.042
14.032,1.427,11.833,0.57,3.558
18.346,1.497,16.05,0.602,2.722
15.888,1.519,13.601,0.581,3.143
16.836,1.543,14.522,0.575,2.966
13.474,1.558,11.126,0.604,3.706
19.132,1.498,16.844,0.605,2.608
14.047,1.549,11.673,0.638,3.555
18.389,1.558,16.004,0.629,2.714
19.183,1.648,16.678,0.662,2.606
20.342,1.638,17.885,0.624,2.453
17.349,1.65,14.855,0.646,2.876
24.987,1.626,22.493,0.656,1.998
19.523,1.618,17.068,0.626,2.558
26.854,1.635,24.377,0.636,1.858
28.317,1.629,25.829,0.649,1.763
17.711,1.693,15.099,0.719,2.822
24.375,1.644,21.823,0.714,2.047
26.817,1.641,24.24,0.719,1.861
21.173,1.634,18.557,0.775,2.358
34.938,1.581,32.23,0.916,1.428
28.229,1.615,25.562,0.846,1.769
28.441,1.633,25.71,0.89,1.758
21.609,1.643,18.801,0.957,2.311
29.14,1.607,26.248,1.072,1.713
20.417,1.71,17.363,1.122,2.446
24.536,1.667,21.525,1.118,2.038
21.021,1.676,17.891,1.24,2.374
27.699,1.656,24.547,1.272,1.801
30.101,1.655,26.908,1.324,1.658
24.6,1.721,21.289,1.382,2.028
22.077,1.677,18.771,1.405,2.262
19.218,1.722,15.81,1.478,2.601
27.192,1.72,23.679,1.586,1.838
30.172,1.717,26.616,1.617,1.657
28.017,1.609,24.495,1.683,1.781
27.869,1.668,24.198,1.769,1.790
21.424,1.74,17.696,1.772,2.329
35.754,1.681,31.998,1.844,1.397
29.467,1.687,25.58,1.968,1.694
48.528,1.672,44.526,2.084,1.029
31.28,1.739,27.173,2.136,1.596
51.049,1.594,46.893,2.328,0.978
36.067,1.779,31.798,2.239,1.386
51.96,1.728,47.669,2.333,0.961
43.218,1.728,38.842,2.411,1.157
42.285,1.704,37.892,2.454,1.181
41.706,1.719,37.191,2.563,1.197
48.257,1.73,43.656,2.634,1.036
33.031,1.753,28.368,2.681,1.513
41.561,1.884,36.728,2.716,1.201
36.741,1.911,31.758,2.834,1.361
42.836,1.756,37.916,2.911,1.166
47.98,1.666,42.992,3.079,1.042
39.33,1.788,34.314,3.007,1.270
34.398,1.733,29.283,3.147,1.453
37.527,1.757,32.304,3.228,1.332
46.01,1.767,40.667,3.338,1.086
43.024,1.93,37.439,3.416,1.160
41.615,1.826,36.07,3.49,1.199
52.533,1.969,46.729,3.61,0.950
38.376,1.951,32.429,3.765,1.301
50.325,1.965,44.339,3.78,0.992
39.544,1.95,33.563,3.802,1.262
40.148,1.916,34.077,3.917,1.245
37.112,2.006,30.832,4.045,1.347
48.788,1.977,42.441,4.13,1.025
43.544,1.909,37.157,4.256,1.147
62.941,2.014,56.321,4.392,0.794
54.512,2.007,47.878,4.396,0.917
50.595,1.993,43.861,4.504,0.987
45.778,2.047,38.868,4.653,1.091
40.42,2.106,33.38,4.702,1.237
56.561,2.068,49.48,4.793,0.882
43.505,2.214,36.158,4.931,1.149
56.903,2.072,49.663,4.951,0.877
59.07,2.135,51.579,5.147,0.845
40.472,2.143,32.944,5.18,1.235
65.219,2.072,57.724,5.213,0.766
54.19,2.043,46.521,5.412,0.922
51.758,2.041,44.041,5.466,0.964
63.893,2.087,55.977,5.621,0.781
68.532,2.083,60.601,5.632,0.728
56.739,2.067,48.684,5.777,0.880
82.088,2.114,73.925,5.838,0.609
66.661,2.04,58.425,5.981,0.749
64.924,2.087,56.572,6.058,0.770
54.997,2.126,46.592,6.074,0.908
46.383,2.154,37.674,6.337,1.078
61.004,2.208,52.199,6.395,0.818
74.794,2.163,65.937,6.489,0.668
64.638,2.099,55.776,6.544,0.772
71.304,2.15,62.354,6.604,0.700
64.871,2.229,55.595,6.844,0.771
70.18,2.142,61.048,6.793,0.711
75.103,2.189,65.675,7.04,0.665
60.607,2.172,51.137,7.075,0.824
71.56,2.139,61.996,7.203,0.697
70.222,2.138,60.624,7.264,0.711
60.311,2.249,50.327,7.528,0.829
63.919,2.201,53.945,7.573,0.781
63.576,2.237,53.399,7.735,0.785
68.463,2.222,58.301,7.739,0.729
63.725,2.211,53.409,7.903,0.785
51.721,2.361,40.997,8.166,0.965
84.744,2.289,74.096,8.151,0.590
75.43,2.251,64.684,8.291,0.663
78.745,2.276,67.883,8.382,0.634
66.716,2.286,55.723,8.506,0.748
79.168,2.264,68.026,8.648,0.631
74.345,2.247,63.137,8.753,0.672
77.021,2.299,65.661,8.828,0.648
71.601,2.284,60.047,9.026,0.697
61.063,2.408,49.048,9.396,0.819
74.424,2.349,62.505,9.358,0.672
63.497,2.397,51.164,9.715,0.786
